"ms_source_id","wd_source_id","ms_teff","ms_p_rot","wd_teff","wd_logg","wd_total_age","wd_spectral_type"
"3805246023875111680","3805246019580616960","3946","20.4","$12204_{-790}^{+680}$","$8.46_{-0.07}^{+0.08}$","$0.94_{-0.07}^{+0.07}$","---"
"3831257784633494016","3831257823288140544","3306","37.9","$ 9680_{-180}^{+160}$","$8.33_{-0.04}^{+0.04}$","$1.42_{-0.03}^{+0.03}$","DA: (5)"
"3839256319408219008","3839256319408293248","5565","12.5","$ 7980_{-200}^{+200}$","$8.19_{-0.06}^{+0.06}$","$1.94_{-0.10}^{+0.18}$","---"
"3870805121940366720","3870804537824812800","3471","129.3","$10160_{-450}^{+420}$","$8.22_{-0.08}^{+0.09}$","$1.22_{-0.09}^{+0.17}$","---"
"3897698321657960832","3897698317362400384","3574","24.0","$12010_{-450}^{+390}$","$8.52_{-0.05}^{+0.05}$","$1.00_{-0.03}^{+0.05}$","---"
"3907622513610306432","3907622479250567808","3406","57.0","$ 6950_{- 90}^{+ 80}$","$8.19_{-0.04}^{+0.04}$","$2.66_{-0.12}^{+0.10}$","DA (2)"
"3919287679146000640","3919287674850641792","5249","14.6","$10710_{-350}^{+310}$","$8.29_{-0.05}^{+0.05}$","$1.12_{-0.03}^{+0.06}$","---"
"3931756484602030976","3931756484602030848","3294","100.1","$ 7150_{- 90}^{+ 90}$","$8.21_{-0.04}^{+0.04}$","$2.67_{-0.20}^{+0.51}$","DQ (6)"
"3944167939359417088","3944167939360964480","3608","13.0","$12480_{-980}^{+890}$","$8.33_{-0.08}^{+0.10}$","$0.86_{-0.07}^{+0.08}$","---"
"3956995877097644416","3956995666643307008","4276","43.5","$10700_{-480}^{+440}$","$8.39_{-0.07}^{+0.07}$","$1.20_{-0.07}^{+0.04}$","---"
"4283721804641828480","4283721800317089920","3326","138.5","$ 6790_{-100}^{+ 100}$","$8.34_{-0.04}^{+0.04}$","$3.75_{-0.07}^{+0.09}$","DA (2)"
"4310991582806231296","4310991685885480064","3343","126.7","$ 8910_{-180}^{+170}$","$8.17_{-0.04}^{+0.04}$","$1.57_{-0.08}^{+0.13}$","DA (2)"
"4371782034475387776","4371782030179914624","3304","26.3","$ 6100_{- 80}^{+ 70}$","$8.14_{-0.04}^{+0.04}$","$3.67_{-0.22}^{+0.32}$","DA: (2)"
"4433378806164302464","4433378806161595904","3394","36.7","$ 5500_{- 70}^{+ 70}$","$8.10_{-0.04}^{+0.04}$","$5.19_{-0.37}^{+1.12}$","DA (2)"
"4447660805076826880","4447663760014329344","3383","54.5","$ 9660_{-500}^{+450}$","$8.34_{-0.09}^{+0.10}$","$1.43_{-0.07}^{+0.09}$","---"
"4465117102652542336","4465117098356736000","3676","39.1","$ 6460_{- 100}^{+ 90}$","$8.15_{-0.04}^{+0.04}$","$3.14_{-0.18}^{+0.27}$","---"
"4517946196857223808","4517946192529261824","4810","17.9","$ 8450_{-590}^{+510}$","$8.40_{-0.13}^{+0.13}$","$2.29_{-0.23}^{+0.27}$","---"
"4563562151123622656","4563562426001533696","3461","54.6","$ 7340_{-120}^{+110}$","$8.20_{-0.04}^{+0.04}$","$2.35_{-0.09}^{+0.11}$","---"
"4565593739374133504","4565593735079515904","3232","178.0","$ 6440_{-120}^{+110}$","$8.30_{-0.05}^{+0.05}$","$4.06_{-0.15}^{+0.16}$","---"
"4565737053842898304","4565737049547212544","3718","32.5","$ 8730_{-300}^{+280}$","$8.31_{-0.07}^{+0.08}$","$1.75_{-0.11}^{+0.09}$","---"
"4611559819405628672","4611559815111559552","3532","33.7","$ 8740_{-280}^{+250}$","$8.23_{-0.07}^{+0.07}$","$1.64_{-0.09}^{+0.14}$","---"
"6222883046075139968","6222882251504782720","3271","274.2","$15330_{-300}^{+290}$","$8.38_{-0.04}^{+0.04}$","$0.61_{-0.02}^{+0.01}$","DA (2)"
"6236729088627705216","6236729329145889792","5437","26.0","$ 5290_{- 80}^{+ 80}$","$8.18_{-0.05}^{+0.05}$","$6.78_{-0.15}^{+0.22}$","DA (2)"
"720018767158643072","720018767158642944","3782","43.3","$12830_{-780}^{+690}$","$8.27_{-0.06}^{+0.06}$","$0.81_{-0.05}^{+0.08}$","DC+dM: (5)"
